"hour","magnitude","probability","count","is_most_probable"
14,"5-6 magnitude","0.0436","47","0"
15,"5-6 magnitude","0.0454","49","0"
6,"5-6 magnitude","0.0315","34","0"
5,"5-6 magnitude","0.0297","32","0"
4,"5-6 magnitude","0.0408","44","0"
17,"5-6 magnitude","0.0445","48","0"
16,"5-6 magnitude","0.0565","61","1"
18,"5-6 magnitude","0.0538","58","0"
20,"5-6 magnitude","0.0334","36","0"
19,"5-6 magnitude","0.0491","53","0"
3,"5-6 magnitude","0.0426","46","0"
2,"5-6 magnitude","0.0408","44","0"
10,"5-6 magnitude","0.0463","50","0"
9,"5-6 magnitude","0.0361","39","0"
11,"5-6 magnitude","0.0417","45","0"
13,"5-6 magnitude","0.0297","32","0"
12,"5-6 magnitude","0.0334","36","0"
23,"5-6 magnitude","0.0491","53","0"
21,"5-6 magnitude","0.0408","44","0"
22,"5-6 magnitude","0.0334","36","0"
22,">6 magnitude","0.0575","5","0"
23,">6 magnitude","0.0575","5","0"
4,">6 magnitude","0.0345","3","0"
5,">6 magnitude","0.0460","4","0"
6,">6 magnitude","0.0460","4","0"
8,">6 magnitude","0.0230","2","0"
7,">6 magnitude","0.0345","3","0"
1,">6 magnitude","0.0805","7","1"
0,">6 magnitude","0.0575","5","0"
9,">6 magnitude","0.0345","3","0"
10,">6 magnitude","0.0690","6","0"
3,">6 magnitude","0.0575","5","0"
18,">6 magnitude","0.0230","2","0"
16,">6 magnitude","0.0690","6","0"
17,">6 magnitude","0.0115","1","0"
15,">6 magnitude","0.0575","5","0"
14,">6 magnitude","0.0690","6","0"
12,">6 magnitude","0.0575","5","0"
13,">6 magnitude","0.0230","2","0"
20,">6 magnitude","0.0230","2","0"
19,">6 magnitude","0.0690","6","0"
